,id,hv001,hv002,total_household_members,hv010,hv011,hv012,hv014,hv024,hv025,hv027,financial_depriv,electricity_depriv,water_depriv,sanitation_depriv,cooking_fuel_depriv,floor_depriv,information_asset,mobility_asset,livelihood_asset,asset_depriv,hv108,malnutrition,child_under_5,woman_15_to_49,child_not_in_school,school_attainment_depriv,school_attendance_depriv,child_mortality,total_of_weighted_deprivations,headcount_poor,total_poverty_intensity,DHSID_num,ADM1NAME,LATNUM,LONGNUM,geometry,index_right,LOCAL_AUTH,DISTRICT_N,DIST_NAME_,DIST_NM_LA,PROVINCEPC,PROVNAMEFU,DISTRICTPC,STATUS,NOOFWARDS,HRName,HRPCode,HRParent,DHSID,DHSCLUST,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_2010,Rainfall_2015,Travel_Times
922,922,80,4,2,1,1,2,0,10,1,1,1,0,0,0,0,0,1,0,0,1,2,0.0,0,1,0,0,0,0.0,0.05555555555555555,0,0.0,80,Bulawayo,-20.152506,28.474595,POINT (28.474595 -20.152506),25,BulawayoCityCouncil,Bulawayo,Bulawayo,Bulawayo,10,Bulawayo,1021,Urban,29,Bulawayo,ZW1021,ZW10,ZW201500000080,80,28739.8457,32089.878910000003,2287.044253,2553.631426000001,3582.533333,0.234905995,9.0,2392.0,2511.0,67.06666667,6.0,0.05378167,0.180502808,0.021543119,0.019476663,2.380286678,1589.4,87901.12638999999,30723.4017,254291.4334,538.0,339.0,13.73333333
923,923,80,6,4,1,1,4,1,10,1,1,0,0,0,1,0,0,1,0,1,0,2,1.0,1,1,0,0,0,0.0,0.2222222222222222,0,0.0,80,Bulawayo,-20.152506,28.474595,POINT (28.474595 -20.152506),25,BulawayoCityCouncil,Bulawayo,Bulawayo,Bulawayo,10,Bulawayo,1021,Urban,29,Bulawayo,ZW1021,ZW10,ZW201500000080,80,28739.8457,32089.878910000003,2287.044253,2553.631426000001,3582.533333,0.234905995,9.0,2392.0,2511.0,67.06666667,6.0,0.05378167,0.180502808,0.021543119,0.019476663,2.380286678,1589.4,87901.12638999999,30723.4017,254291.4334,538.0,339.0,13.73333333
924,924,80,8,5,2,0,5,1,10,1,1,1,0,0,0,0,0,1,0,1,0,1,0.0,1,1,0,0,0,0.0,0.0,0,0.0,80,Bulawayo,-20.152506,28.474595,POINT (28.474595 -20.152506),25,BulawayoCityCouncil,Bulawayo,Bulawayo,Bulawayo,10,Bulawayo,1021,Urban,29,Bulawayo,ZW1021,ZW10,ZW201500000080,80,28739.8457,32089.878910000003,2287.044253,2553.631426000001,3582.533333,0.234905995,9.0,2392.0,2511.0,67.06666667,6.0,0.05378167,0.180502808,0.021543119,0.019476663,2.380286678,1589.4,87901.12638999999,30723.4017,254291.4334,538.0,339.0,13.73333333
925,925,80,9,4,2,1,4,1,10,1,1,1,0,0,0,0,0,1,0,1,0,3,0.0,1,1,0,0,0,0.0,0.0,0,0.0,80,Bulawayo,-20.152506,28.474595,POINT (28.474595 -20.152506),25,BulawayoCityCouncil,Bulawayo,Bulawayo,Bulawayo,10,Bulawayo,1021,Urban,29,Bulawayo,ZW1021,ZW10,ZW201500000080,80,28739.8457,32089.878910000003,2287.044253,2553.631426000001,3582.533333,0.234905995,9.0,2392.0,2511.0,67.06666667,6.0,0.05378167,0.180502808,0.021543119,0.019476663,2.380286678,1589.4,87901.12638999999,30723.4017,254291.4334,538.0,339.0,13.73333333
926,926,80,10,6,1,1,6,1,10,1,1,1,1,0,0,0,0,1,1,1,0,3,1.0,1,1,0,0,0,0.0,0.2222222222222222,0,0.0,80,Bulawayo,-20.152506,28.474595,POINT (28.474595 -20.152506),25,BulawayoCityCouncil,Bulawayo,Bulawayo,Bulawayo,10,Bulawayo,1021,Urban,29,Bulawayo,ZW1021,ZW10,ZW201500000080,80,28739.8457,32089.878910000003,2287.044253,2553.631426000001,3582.533333,0.234905995,9.0,2392.0,2511.0,67.06666667,6.0,0.05378167,0.180502808,0.021543119,0.019476663,2.380286678,1589.4,87901.12638999999,30723.4017,254291.4334,538.0,339.0,13.73333333
927,927,80,11,3,2,0,3,0,10,1,1,0,0,0,0,0,0,1,1,1,0,3,0.0,0,1,0,0,0,0.0,0.0,0,0.0,80,Bulawayo,-20.152506,28.474595,POINT (28.474595 -20.152506),25,BulawayoCityCouncil,Bulawayo,Bulawayo,Bulawayo,10,Bulawayo,1021,Urban,29,Bulawayo,ZW1021,ZW10,ZW201500000080,80,28739.8457,32089.878910000003,2287.044253,2553.631426000001,3582.533333,0.234905995,9.0,2392.0,2511.0,67.06666667,6.0,0.05378167,0.180502808,0.021543119,0.019476663,2.380286678,1589.4,87901.12638999999,30723.4017,254291.4334,538.0,339.0,13.73333333
928,928,80,12,5,2,0,5,1,10,1,1,0,0,0,0,0,0,1,1,1,0,3,0.0,1,1,0,0,0,0.0,0.0,0,0.0,80,Bulawayo,-20.152506,28.474595,POINT (28.474595 -20.152506),25,BulawayoCityCouncil,Bulawayo,Bulawayo,Bulawayo,10,Bulawayo,1021,Urban,29,Bulawayo,ZW1021,ZW10,ZW201500000080,80,28739.8457,32089.878910000003,2287.044253,2553.631426000001,3582.533333,0.234905995,9.0,2392.0,2511.0,67.06666667,6.0,0.05378167,0.180502808,0.021543119,0.019476663,2.380286678,1589.4,87901.12638999999,30723.4017,254291.4334,538.0,339.0,13.73333333
929,929,80,13,3,1,2,3,0,10,1,1,0,0,0,0,0,0,1,1,1,0,3,0.0,0,1,0,0,0,0.0,0.0,0,0.0,80,Bulawayo,-20.152506,28.474595,POINT (28.474595 -20.152506),25,BulawayoCityCouncil,Bulawayo,Bulawayo,Bulawayo,10,Bulawayo,1021,Urban,29,Bulawayo,ZW1021,ZW10,ZW201500000080,80,28739.8457,32089.878910000003,2287.044253,2553.631426000001,3582.533333,0.234905995,9.0,2392.0,2511.0,67.06666667,6.0,0.05378167,0.180502808,0.021543119,0.019476663,2.380286678,1589.4,87901.12638999999,30723.4017,254291.4334,538.0,339.0,13.73333333
930,930,80,15,6,1,1,6,0,10,1,1,0,0,0,0,0,0,1,0,1,0,4,0.0,0,1,0,0,0,0.0,0.0,0,0.0,80,Bulawayo,-20.152506,28.474595,POINT (28.474595 -20.152506),25,BulawayoCityCouncil,Bulawayo,Bulawayo,Bulawayo,10,Bulawayo,1021,Urban,29,Bulawayo,ZW1021,ZW10,ZW201500000080,80,28739.8457,32089.878910000003,2287.044253,2553.631426000001,3582.533333,0.234905995,9.0,2392.0,2511.0,67.06666667,6.0,0.05378167,0.180502808,0.021543119,0.019476663,2.380286678,1589.4,87901.12638999999,30723.4017,254291.4334,538.0,339.0,13.73333333
931,931,80,17,7,2,0,7,1,10,1,1,1,0,0,0,0,0,1,0,1,0,3,0.0,0,1,0,0,0,0.0,0.0,0,0.0,80,Bulawayo,-20.152506,28.474595,POINT (28.474595 -20.152506),25,BulawayoCityCouncil,Bulawayo,Bulawayo,Bulawayo,10,Bulawayo,1021,Urban,29,Bulawayo,ZW1021,ZW10,ZW201500000080,80,28739.8457,32089.878910000003,2287.044253,2553.631426000001,3582.533333,0.234905995,9.0,2392.0,2511.0,67.06666667,6.0,0.05378167,0.180502808,0.021543119,0.019476663,2.380286678,1589.4,87901.12638999999,30723.4017,254291.4334,538.0,339.0,13.73333333
