hv001,hv002,hv009,hv010,hv011,hv012,hv014,hv024,hv025,hv027,hv206,hv201,hv204,hv205,hv225,hv226,hv213,hv207,hv208,hv243a,hv221,hv210,hv211,hv212,hv243c,hv243d,hv209,hv244,hv245,hv246,hv247
3,29,8,2,2,6,2,9,1,1,1,21,1,42,0.0,1,34,0,1,1,0,0,0,0,0,0,1,1,30.0,1,1
4,1,3,1,1,3,0,4,2,1,0,21,996,22,0.0,8,34,1,0,1,0,0,0,0,1,0,0,1,15.0,1,0
4,2,4,0,1,4,0,4,2,1,1,21,10,22,0.0,8,34,1,1,1,0,1,0,0,0,0,1,1,1.0,1,0
4,3,5,0,2,5,2,4,2,1,1,21,10,23,1.0,8,34,1,1,1,0,1,0,0,0,0,0,0,,1,0
4,5,10,1,1,9,5,4,2,1,0,31,45,23,1.0,8,12,0,1,1,0,0,0,0,0,0,0,1,60.0,1,0
4,6,5,1,0,5,2,4,2,1,1,14,10,22,1.0,8,12,1,1,1,0,0,0,0,0,0,0,0,,0,0
4,7,1,0,1,1,0,4,2,1,1,21,10,23,1.0,8,34,1,0,0,0,0,0,0,1,0,0,0,,1,0
4,8,4,1,0,2,0,4,2,1,0,31,996,23,0.0,8,12,0,0,1,0,0,0,0,0,0,0,1,20.0,1,0
4,9,7,2,0,7,2,4,2,1,1,21,15,22,0.0,8,34,1,1,1,0,1,0,0,0,0,1,1,60.0,1,1
4,10,4,1,1,4,1,4,2,1,1,32,20,23,0.0,8,12,0,1,1,0,1,0,0,0,0,0,1,60.0,1,0
4,11,8,1,2,8,2,4,2,1,0,21,30,23,1.0,8,34,1,1,1,0,0,0,0,1,0,0,1,60.0,1,0
4,12,5,1,2,4,1,4,2,1,1,21,996,21,1.0,8,12,0,1,1,0,0,0,0,1,0,1,1,60.0,1,0
4,13,5,1,1,4,2,4,2,1,0,31,40,23,0.0,8,12,0,0,1,0,0,0,0,0,0,0,0,,0,0
4,14,11,1,2,10,3,4,2,1,0,32,996,23,0.0,8,11,1,0,1,0,0,0,0,0,0,0,0,,0,0
4,15,6,1,0,6,2,4,2,1,0,21,10,23,0.0,8,12,0,0,1,0,0,0,0,1,0,0,1,60.0,1,0
4,16,6,1,2,6,0,4,2,1,0,21,10,23,1.0,8,34,0,0,1,0,1,0,0,1,0,0,1,60.0,1,0
4,17,3,1,1,3,1,4,2,1,1,21,30,21,1.0,8,11,1,1,1,0,1,0,0,0,0,0,0,,1,0
4,18,7,1,2,6,0,4,2,1,0,21,40,31,,8,12,0,1,1,0,1,0,0,1,0,0,1,60.0,1,0
4,19,9,1,2,9,2,4,2,1,0,21,10,23,1.0,8,11,0,0,1,0,0,0,0,0,0,0,1,55.0,1,0
4,20,4,2,0,4,1,4,2,1,1,21,10,21,1.0,1,34,0,1,1,0,0,0,0,0,0,0,0,,0,1
4,21,5,1,1,4,1,4,2,1,1,21,10,23,1.0,8,34,1,1,1,0,1,0,0,0,0,0,0,,0,0
4,22,5,1,2,5,0,4,2,1,1,21,30,22,1.0,8,11,1,1,1,0,1,0,0,1,0,1,1,60.0,1,1
4,23,5,1,1,5,1,4,2,1,1,32,60,22,0.0,8,12,0,1,1,0,0,0,0,1,0,0,1,30.0,1,0
4,24,12,3,1,11,4,4,2,1,0,14,15,22,0.0,8,34,1,1,1,0,0,0,0,0,0,1,1,60.0,1,0
4,26,6,1,2,6,2,4,2,1,1,21,120,22,1.0,1,34,0,1,1,0,0,0,0,0,0,1,0,,1,1
4,27,3,0,1,3,1,4,2,1,1,21,20,21,1.0,8,12,1,0,0,0,1,0,0,0,0,0,0,,0,0
4,29,3,1,1,3,1,4,2,1,0,32,15,22,1.0,8,34,0,0,1,0,0,0,0,0,0,0,1,50.0,1,0
5,1,6,1,0,6,2,10,1,1,1,11,996,11,0.0,1,31,1,1,1,0,0,0,1,0,0,1,0,,0,1
5,2,4,1,1,4,1,10,1,1,1,11,996,12,0.0,2,35,0,1,1,1,0,0,1,0,1,1,0,,0,1
5,3,1,0,1,1,0,10,1,1,1,11,996,11,0.0,1,34,0,1,1,0,0,0,0,0,0,0,1,20.0,1,0
5,4,5,1,1,5,1,10,1,1,1,11,996,11,0.0,1,33,0,1,1,0,1,0,1,0,1,1,0,,0,1
5,5,3,2,0,3,0,10,1,1,1,11,996,12,0.0,1,31,0,1,1,0,0,0,0,0,0,1,0,,1,0
5,7,1,0,1,1,0,10,1,1,1,12,996,11,0.0,1,34,0,1,1,0,0,0,0,0,0,1,0,,0,1
5,8,2,0,0,2,0,10,1,1,1,11,996,11,0.0,1,33,0,1,1,0,0,0,1,0,0,1,1,998.0,0,1
5,9,2,0,0,2,0,10,1,1,1,11,996,11,0.0,1,31,1,1,1,1,0,0,1,0,0,1,0,,1,1
5,10,1,0,0,1,0,10,1,1,1,11,996,11,0.0,1,31,0,1,1,1,1,0,1,0,0,1,0,,0,0
5,11,2,0,0,2,0,10,1,1,1,11,996,11,0.0,2,21,1,1,1,1,0,0,1,0,0,1,0,,0,1
5,12,3,1,1,3,1,10,1,1,1,11,996,11,0.0,1,34,0,1,1,0,0,0,0,0,0,1,1,10.0,1,0
5,13,4,1,2,4,0,10,1,1,1,96,150,11,0.0,1,31,1,1,1,0,0,0,1,0,0,1,1,950.0,1,1
