DHSID,DHSCLUST,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_2010,Rainfall_2015,Travel_Times
ZW201500000243,243,6499.414551,7257.012206999999,20.68827906,23.099787300000003,4390.012987,0.005458792,10.0,2585.0,2517.181818,28.15064935,7.0,0.105223581,0.379746715,0.030574995,0.028083748,0.006026627,1612.706494,220310.2145,152971.7676,165116.4282,705.6,483.0,159.225974
ZW201500000244,244,17423.09375,19454.0,1386.4857470000002,1548.1001310000001,4795.714286,0.084559917,7.0,2601.0,2497.0,59.0,8.0,0.174267151,0.519305779,0.066895947,0.06258095799999999,1.92411889,1577.9285710000001,11966.00556,68691.46014,41682.571280000004,491.0,368.0,12.71428571
ZW201500000245,245,19199.92188,21437.94336,61.11524948,68.23909311,3876.068878,0.00016307799999999999,8.0,2944.833333,2909.166667,27.07653061,6.0,0.10789930800000001,0.392575495,0.026004471,0.024166092,0.020074708,1704.9846940000002,166962.831,66384.91837,57541.63304,582.5833332999999,321.3333333,186.4081633
ZW201500000246,246,21511.38086,24018.83594,1711.821298,1911.358234,3574.6,0.14668884599999998,9.0,2392.0,2511.0,65.4,6.0,0.05378167,0.18050280800000001,0.021543119,0.019476663,1.6887991230000001,1590.333333,87290.2907,29628.05495,254372.5368,538.0,339.0,13.93333333
ZW201500000247,247,29882.39258,33365.60547,2377.965245,2655.15052,3628.25,0.085085484,9.0,2481.0,2400.0,86.25,5.0,0.098959416,0.28450936,0.026047538999999998,0.022659946,1.857308451,1594.5625,100385.2951,35241.194110000004,242417.9945,537.0,347.0,3.9375
ZW201500000248,248,11621.2168,12975.83301,36.99148197,41.30335929,5166.427083,0.0040836859999999996,10.0,2812.166667,2742.5,32.97916667,7.0,0.125728592,0.404119216,0.034687575,0.036931765,0.009406171999999999,1601.645833,191432.3768,170626.7509,184058.3094,835.9,608.9,121.11458329999999
ZW201500000249,249,19515.70313,21790.53125,1553.010311,1734.035381,8216.125,0.004641801,4.0,3651.0,3446.0,55.53333333,8.0,0.16386847599999999,0.508008865,0.054263845,0.043065213,1.552014136,1391.625,23875.15545,26448.53472,115573.4666,844.0,597.0,140.93333330000002
ZW201500000250,250,543.6132202,606.9790039,43.25936556,48.30185441,5586.333333,0.000939701,8.0,2881.0,2759.0,40.0,7.0,0.102696253,0.40370332600000003,0.028331466,0.038256329,0.055076760999999995,1537.933333,110016.0713,167212.4446,141167.6178,742.0,644.0,93.46666667
ZW201500000251,251,2361.0979,2636.317139,187.890201,209.79145209999996,4813.4375,0.054746345999999994,10.0,2520.0,2443.0,54.125,6.0,0.081695828,0.34851451299999997,0.03813016,0.032974552000000004,0.741709099,1523.8125,189905.3439,121438.1208,126595.3308,733.0,485.0,141.5625
ZW201500000252,252,9136.115234,10201.05664,29.081158000000002,32.47097178,4456.121762,8.72e-05,5.0,2793.1,2665.3,28.57216495,6.0,0.20125437899999998,0.484394418,0.06209768400000001,0.059904702000000004,0.00074561,1694.095855,169578.6891,100992.2571,142479.42,704.7,600.7,244.4547804
ZW201500000253,253,12864.58398,14364.13086,40.94924262,45.72244859,5172.332468,0.0008381110000000001,8.0,3112.3,3097.3,31.50649351,7.0,0.125019485,0.41748351100000003,0.033498299,0.049384896,0.002640361,1591.028571,100870.7467,104191.6579,143487.5662,756.9090909,738.9090909,108.77922079999999
ZW201500000254,254,13762.34082,15366.53516,43.8068914,48.91320058,3314.1776649999997,0.000654092,10.0,2176.2,2094.0,33.72335025,6.0,0.141362453,0.470285859,0.046115487999999996,0.041395142999999995,0.00071196,1647.126904,90504.74206,103928.6333,108792.3542,520.9166667,319.8333333,220.20812180000004
ZW201500000255,255,42996.42188,48008.26953,3421.546539,3820.3767020000005,5470.2,0.69437027,10.0,2132.0,1961.0,80.73333333,7.0,0.029380858,0.210225733,0.013858468,0.017803257,8.10825634,1527.466667,182271.1715,176617.7133,225156.5726,782.0,603.0,5.133333333
ZW201500000256,256,10223.71875,11415.4375,32.54310752,36.33646611,4380.2493509999995,0.015047608999999998,7.0,2780.0,2775.444444,32.78441558,8.0,0.229894475,0.6728604509999999,0.058316278,0.056747745999999995,0.0,1572.0103900000001,44632.2345,65975.24334,163690.7747,588.4444444000001,523.2222222,344.14285710000007
ZW201500000257,257,797.3913574,890.3386230000001,2.538175522,2.834035858,3901.748718,0.0,5.0,2526.090909,2503.363636,23.67948718,5.0,0.11545765599999999,0.35567967799999994,0.031629458,0.034126628,0.0,1604.1128210000002,170655.3815,107457.1758,206903.0861,686.6,434.4,157.9717949
ZW201500000258,258,16462.39844,18381.32031,52.40144174,58.50955976,3660.116279,0.002343715,10.0,2552.818182,2557.909091,34.95607235,6.0,0.203856211,0.639477282,0.079311021,0.084246755,0.011308596,1730.664083,9886.637078,136345.8087,148904.331,558.1666667000001,455.5,343.51162789999995
ZW201500000259,259,121.0370178,135.1455994,9.63181984,10.75454509,3915.4375,0.000915593,2.0,1843.0,1829.0,29.875,6.0,0.163421807,0.36201689600000003,0.327895135,0.17499290399999998,0.06745082599999999,1888.9375,2662.8293350000004,32849.179189999995,60.35228896,960.0,602.0,205.125
ZW201500000260,260,5563.544434,6212.053711,17.70931196,19.7735811,4817.4041990000005,9.89e-06,5.0,3022.818182,2972.272727,30.24671916,6.0,0.199534503,0.486112727,0.049856552,0.052977847,0.002648901,1611.110236,59390.3783,15373.948480000001,50825.29027,797.6,696.2,278.1469816
ZW201500000261,261,9397.214844,10492.5918,29.91226387,33.39895702,4204.367454,0.023049136,8.0,2754.2,2709.4,32.69633508,7.0,0.207882276,0.640867771,0.049318842,0.05377107,0.010911027,1608.401575,71222.79737,112037.4804,174976.5811,566.3636364,522.0909091,324.5380577
ZW201500000262,262,61.98390198,69.20899963,4.932522196,5.507477198999999,3666.1875,0.0,9.0,2516.0,2613.0,36.25,5.0,0.107557487,0.31704799,0.024831522,0.020013536999999998,0.005915335,1593.4375,5891.505464,58480.64023,292395.5045,649.0,385.0,112.125
ZW201500000263,263,21330.74219,23817.13867,1697.4465300000002,1895.307675,5628.2,0.700476573,10.0,2743.0,2564.0,77.0,7.0,0.045722328,0.25185168199999997,0.019693911,0.024334212999999997,6.720703602,1505.2,181499.2937,172529.2066,226213.2142,780.0,597.0,10.06666667
ZW201500000264,264,1999.093262,2232.115723,6.363311487000001,7.105045017,2613.739348,0.000169496,9.0,2414.727273,2484.272727,31.45226131,2.0,0.152117104,0.401535995,0.026685491000000002,0.025352492999999997,0.000109592,1711.9473679999999,63951.4672,63130.08771,231541.4046,430.4,267.7,267.5413534
ZW201500000265,265,414.731781,463.07458499999996,1.32013226,1.474012184,3538.292746,3.96e-06,2.0,2845.1,2923.4,24.55844156,5.0,0.176413965,0.365953481,0.22095009899999998,0.21912701,0.001116148,1786.0518129999998,51077.07714,5744.4699009999995,62505.529910000005,779.2,488.2,134.7849741
ZW201500000266,266,34431.83203,38445.34766,2739.998134,3059.383559,3887.8125,0.14849622699999998,9.0,2390.0,2258.0,70.375,5.0,0.042773213,0.153270775,0.016189693,0.014694734,3.9258987430000003,1562.4375,94454.91977000001,25351.73072,244359.1068,556.0,356.0,5.875
ZW201500000267,267,25435.57227,28400.44336,80.96394114,90.40141893,5654.72987,0.005181834000000001,10.0,2809.727273,2752.727273,34.42857143,7.0,0.126524528,0.470746304,0.038939892999999996,0.04220074,0.048255216,1538.927273,119691.9851,110682.2311,196688.9244,818.4,581.6,138.8441558
ZW201500000268,268,5130.851563,5728.924805,16.33200777,18.23573403,3082.005063,0.0011122039999999999,8.0,3132.2,3121.1,37.43908629,5.0,0.133693039,0.44014712899999997,0.05378234,0.052896150999999995,0.16441391,1818.858228,99709.56495,54305.41522,92915.8975,491.25,304.75,208.6481013
ZW201500000269,269,12845.42285,14621.291019999999,40.88825085,46.5410148,7168.025640999999,1.89e-05,4.9375,4382.0909090000005,4264.0,18.74807198,8.0,0.15196235800000002,0.5422850020000001,0.18197032800000001,0.133783579,0.0036547240000000003,1583.6641029999998,256.4910431,782.6062003,88248.55437,1199.0,842.4,974.7692308000001
ZW201500000270,270,419381.75,468266.5625,1334.933571,1490.538762,5007.287918,0.40574395700000004,10.0,2658.8,2471.9,56.36503856,7.0,0.08566232800000001,0.33586667200000003,0.020284088000000002,0.024405436000000003,3.337026158,1562.686375,196801.7721,183530.1115,237005.767,739.2,562.4,20.390745499999998
ZW201500000271,271,5342.162598,5964.866211,17.00463169,18.98675885,3402.793893,0.000123177,5.0,2871.555556,2847.222222,25.54591837,6.0,0.10605645699999999,0.328685228,0.041731962000000004,0.032865596000000004,0.0,1738.8320609999998,127643.7703,97350.67958,213830.8454,608.2,415.0,222.437659
ZW201500000272,272,45883.46875,51231.83203,146.05161719999998,163.0759862,7442.181122,0.000328116,4.0,3680.4,3511.2,33.64540816,8.0,0.161434154,0.5048796879999999,0.060400120999999994,0.049055401,0.07627837,1431.183673,19208.75655,18251.21376,123004.4675,817.9166667000001,573.0,195.81887759999998
ZW201500000273,273,5756.869140999999,6427.913086,18.32468361,20.46068283,3903.401596,0.0,8.0,2961.181818,2959.090909,38.58730159,6.0,0.18400779,0.52368091,0.062852315,0.102372495,0.001500775,1838.132979,11967.2562,64294.04145,55511.920229999996,794.0833332999999,639.6666667000001,248.8218085
ZW201500000274,274,9380.271484,10473.67383,29.85833148,33.33873925,4423.7958659999995,0.000456415,5.0,2868.8,2767.5,36.95607235,6.0,0.18888613399999998,0.46707725899999997,0.057587433,0.056008092999999995,0.02661953,1716.4082690000002,170861.9005,117725.1262,141596.8278,713.9166667000001,647.1666667000001,156.1860465
ZW201500000275,275,12895.57227,14398.7334,1026.197035,1145.814797,3640.75,0.018663979,2.0,3057.0,2820.0,44.125,6.0,0.257788672,0.39741875200000004,0.07706866400000001,0.07494050299999999,1.66592945,1863.5,3519.976719,856.6795045,126813.7028,752.0,494.0,92.9375
ZW201500000276,276,6995.868651999999,7811.335448999999,22.26854154,24.86425298,4514.789063,0.0018060279999999999,10.0,2652.363636,2648.090909,29.5703125,7.0,0.119500126,0.39955851,0.029992273,0.03184142,0.008826216,1671.799479,233681.1621,196697.99300000002,209155.516,766.2727272999999,532.5454545,165.76041669999998
