hv001,hv002,total_household_members,hv010,hv011,hv012,hv014,hv024,hv025,hv027,financial_depriv,electricity_depriv,water_depriv,sanitation_depriv,cooking_fuel_depriv,floor_depriv,information_asset,mobility_asset,livelihood_asset,asset_depriv,hv108,malnutrition,child_under_5,woman_15_to_49,child_not_in_school,school_attainment_depriv,school_attendance_depriv,child_mortailty,total_of_weighted_deprivations,headcount_poor,total_poverty_intensity,DHSID_num,ADM1NAME,LATNUM,LONGNUM,Nightlights_Composite,All_Population_Density_2015,BUILT_Population_2014,geometry,index_right,PROVINCE,PROV_CODE,HRName,HRPCode,HRParent
23,3,4,1,0,4,2,3,2,1,1,1,0,0,1,0,1,0,1,0,1,0.0,1,1,0,0,0,0.0,0.1111111111111111,0,0.0,23,Mashonaland East,-18.818072,31.540985,0.000156369,20.22088886,0.0026493000000000003,POINT (31.540985 -18.818072),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
23,5,3,1,0,3,1,3,2,1,1,1,1,0,1,0,1,1,1,0,1,1.0,1,1,0,0,0,0.0,0.33333333333333337,3,1.0,23,Mashonaland East,-18.818072,31.540985,0.000156369,20.22088886,0.0026493000000000003,POINT (31.540985 -18.818072),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
23,7,3,1,1,3,1,3,2,1,1,1,1,1,1,0,1,1,1,0,2,1.0,1,1,0,0,0,1.0,0.5555555555555556,3,1.6666666666666667,23,Mashonaland East,-18.818072,31.540985,0.000156369,20.22088886,0.0026493000000000003,POINT (31.540985 -18.818072),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
23,9,5,1,1,5,1,3,2,1,1,1,0,1,1,1,1,0,1,0,2,1.0,1,1,0,0,0,0.0,0.38888888888888895,5,1.9444444444444446,23,Mashonaland East,-18.818072,31.540985,0.000156369,20.22088886,0.0026493000000000003,POINT (31.540985 -18.818072),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
23,10,5,2,1,5,1,3,2,1,1,1,0,0,1,0,1,1,1,0,3,0.0,1,1,0,0,0,0.0,0.1111111111111111,0,0.0,23,Mashonaland East,-18.818072,31.540985,0.000156369,20.22088886,0.0026493000000000003,POINT (31.540985 -18.818072),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
23,13,3,2,1,3,0,3,2,1,1,1,1,1,1,0,1,0,1,0,3,1.0,0,1,0,0,0,0.0,0.38888888888888895,3,1.166666666666667,23,Mashonaland East,-18.818072,31.540985,0.000156369,20.22088886,0.0026493000000000003,POINT (31.540985 -18.818072),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
23,14,6,2,1,6,1,3,2,1,1,1,1,0,1,0,1,1,1,0,3,0.0,1,1,0,0,0,0.0,0.16666666666666666,0,0.0,23,Mashonaland East,-18.818072,31.540985,0.000156369,20.22088886,0.0026493000000000003,POINT (31.540985 -18.818072),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
23,17,5,1,0,5,1,3,2,1,1,1,1,1,1,0,1,0,1,0,1,0.0,0,1,0,0,0,0.0,0.2222222222222222,0,0.0,23,Mashonaland East,-18.818072,31.540985,0.000156369,20.22088886,0.0026493000000000003,POINT (31.540985 -18.818072),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
23,18,5,1,1,5,1,3,2,1,1,1,1,1,1,0,1,0,1,0,2,0.0,1,1,0,0,0,1.0,0.38888888888888895,5,1.9444444444444446,23,Mashonaland East,-18.818072,31.540985,0.000156369,20.22088886,0.0026493000000000003,POINT (31.540985 -18.818072),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
23,29,6,1,1,6,2,3,2,1,1,1,1,1,1,0,1,0,1,0,2,1.0,1,1,0,0,0,0.0,0.38888888888888895,6,2.333333333333334,23,Mashonaland East,-18.818072,31.540985,0.000156369,20.22088886,0.0026493000000000003,POINT (31.540985 -18.818072),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
