v001,v002,b2,b3,b5,b7
14,8,2008,1300,0,24.0
14,8,2004,1260,1,
14,9,2013,1361,1,
14,9,2008,1297,1,
14,14,1999,1200,1,
14,14,1995,1141,1,
14,14,1992,1106,1,
14,16,2011,1341,1,
14,16,2001,1219,1,
14,16,1997,1174,1,
14,18,2014,1369,1,
14,18,2010,1327,1,
14,18,2007,1290,0,0.0
14,19,2010,1325,1,
14,19,2008,1306,1,
14,19,2006,1278,1,
14,20,2013,1363,1,
14,20,2010,1328,1,
14,21,2015,1383,1,
14,21,2011,1336,1,
14,21,2009,1312,0,11.0
14,22,2001,1218,1,
14,25,2005,1262,1,
14,25,2004,1253,0,0.0
14,28,2010,1329,0,0.0
14,28,2005,1269,0,0.0
14,28,2005,1269,0,0.0
14,28,2003,1239,1,
14,28,1992,1115,1,
14,28,2014,1375,1,
15,1,2014,1375,1,
15,1,2012,1346,1,
15,2,2008,1299,1,
15,2,2003,1246,1,
15,2,2002,1225,1,
15,2,1997,1172,1,
15,2,1994,1139,1,
15,2,2001,1217,0,12.0
15,2,2013,1359,1,
15,2,2009,1313,1,
15,2,2006,1278,1,
15,3,2010,1322,1,
15,3,2007,1289,1,
15,3,2007,1289,1,
15,3,2004,1252,1,
15,3,2000,1211,1,
15,4,2011,1340,1,
15,4,2009,1318,1,
15,4,2007,1288,1,
15,4,2004,1253,1,
15,4,2002,1233,1,
15,4,1999,1199,1,
15,7,2014,1373,1,
15,7,2011,1338,1,
15,7,2006,1274,1,
15,7,2003,1243,1,
15,7,2005,1264,1,
15,7,2003,1246,1,
15,7,2000,1207,1,
15,7,1998,1188,1,
15,7,1996,1157,1,
15,8,2013,1367,1,
15,9,2013,1367,1,
15,10,2015,1381,1,
15,11,2012,1353,1,
15,11,2011,1336,1,
15,11,2007,1285,1,
15,12,2011,1341,1,
15,12,2010,1323,1,
15,14,2015,1383,1,
15,14,2013,1361,1,
15,14,2011,1336,1,
15,15,2012,1345,1,
15,15,2003,1238,1,
15,15,1999,1197,1,
15,15,1996,1158,1,
15,15,1994,1136,1,
15,18,2011,1342,1,
15,18,2009,1311,1,
15,18,2002,1230,1,
15,19,2012,1349,1,
15,19,2010,1324,1,
15,19,2007,1288,1,
15,19,2004,1256,0,108.0
15,19,1999,1190,1,
15,19,1996,1164,1,
15,20,2012,1353,1,
15,20,2014,1371,1,
15,21,2013,1367,1,
15,21,2012,1352,0,5.0
15,21,2010,1322,0,1.0
15,21,2008,1300,1,
15,21,2006,1274,1,
15,21,2003,1242,1,
15,22,2000,1204,1,
15,22,1998,1185,1,
15,22,1995,1150,1,
15,22,1994,1133,1,
15,22,1992,1111,1,
15,22,1989,1080,1,
15,22,1988,1063,1,
15,22,1986,1044,1,
15,22,1984,1014,1,
15,22,2015,1385,1,
15,22,2012,1349,1,
15,22,2008,1307,1,
15,23,2011,1336,1,
15,24,2014,1378,1,
15,24,2012,1347,1,
15,25,2012,1351,1,
15,25,2002,1229,1,
15,25,1999,1197,1,
15,25,1996,1163,1,
15,25,1994,1130,1,
15,25,2013,1366,1,
15,26,2014,1372,1,
15,26,2007,1287,1,
15,26,2001,1216,1,
15,27,2015,1384,1,
15,27,2009,1317,1,
15,27,2006,1273,1,
15,27,2014,1378,1,
15,27,2013,1358,1,
15,28,2014,1370,1,
15,28,2012,1347,1,
15,28,2010,1322,1,
16,1,2008,1301,1,
16,1,2004,1257,1,
16,3,2013,1358,1,
16,3,2008,1301,1,
16,3,2001,1216,1,
16,4,2015,1385,1,
16,4,2013,1361,1,
16,4,2003,1247,1,
16,4,1998,1187,1,
16,4,1996,1157,1,
16,5,2001,1221,1,
16,5,1997,1168,1,
16,5,1995,1148,1,
16,6,2013,1364,1,
16,7,2013,1357,1,
16,8,2015,1382,1,
16,9,2001,1213,1,
16,9,1996,1164,1,
16,12,2015,1385,1,
16,12,2015,1385,1,
16,12,2011,1336,1,
16,12,2005,1268,1,
16,13,2014,1372,1,
16,13,2008,1299,1,
16,15,2010,1329,1,
16,15,2008,1306,1,
16,15,2001,1224,1,
16,15,2001,1218,1,
16,15,1997,1168,1,
16,15,2014,1379,1,
16,17,2009,1310,1,
16,17,2003,1241,1,
16,17,1999,1192,1,
16,17,1993,1118,1,
16,17,1993,1118,1,
16,17,1989,1073,1,
16,18,2013,1365,1,
16,18,2012,1355,0,8.0
16,18,2009,1314,1,
16,18,2008,1297,0,6.0
16,22,2015,1387,1,
16,22,2004,1258,1,
16,24,2011,1334,1,
16,24,2006,1283,1,
16,25,2014,1376,1,
16,27,2008,1307,1,
16,27,2001,1220,1,
16,28,2011,1334,1,
